sku,brand,category,subcategory,product_name,standard_cost,list_price,weight_lb,is_active
SKU0096,HP,Accessory,Webcam,HP Webcam 0096,23,29.02,0.42,True
SKU0097,Dell,Accessory,Headset,Dell Headset 0097,111,139.93,2.25,True
SKU0098,Lenovo,Accessory,Mouse,Lenovo Mouse 0098,88,106.59,1.96,True
SKU0099,Dell,Accessory,Bag,Dell Bag 0099,22,27.98,0.57,True
SKU0100,Lenovo,Laptop,Ultrabook,Lenovo Ultrabook 0100,1631,2045.27,5.92,True
SKU0101,HP,Laptop,Business,HP Business 0101,717,983.21,5.66,True
SKU0102,Samsung,Monitor,27-inch,Samsung 27-inch 0102,418,570.93,10.76,True
SKU0103,Logitech,Monitor,Portable,Logitech Portable 0103,224,309.36,17.02,True
SKU0104,Samsung,Laptop,Ultrabook,Samsung Ultrabook 0104,1304,1591.52,3.43,True
SKU0105,Samsung,Monitor,27-inch,Samsung 27-inch 0105,250,330.46,4.66,True
SKU0106,Acer,Monitor,34-inch,Acer 34-inch 0106,107,122.79,13.36,True
SKU0107,Lenovo,Laptop,Ultrabook,Lenovo Ultrabook 0107,1189,1533.6,6.65,True
SKU0108,Acer,Laptop,Chromebook,Acer Chromebook 0108,1294,1748.24,3.38,True
SKU0109,Acer,Laptop,Business,Acer Business 0109,784,1108.44,3.12,True
SKU0110,HP,Component,SSD,HP SSD 0110,46,52.0,0.14,True
SKU0111,Logitech,Laptop,Ultrabook,Logitech Ultrabook 0111,965,1342.69,4.84,True
SKU0112,Dell,Laptop,Gaming,Dell Gaming 0112,1207,1526.4,4.81,True
SKU0113,Samsung,Laptop,Business,Samsung Business 0113,584,704.88,3.13,True
SKU0114,Samsung,Component,SSD,Samsung SSD 0114,132,176.96,1.23,True
SKU0115,Anker,Laptop,Business,Anker Business 0115,1513,1848.56,3.75,True
SKU0116,Lenovo,Component,Power Adapter,Lenovo Power Adapter 0116,29,38.88,1.27,True
SKU0117,Lenovo,Monitor,24-inch,Lenovo 24-inch 0117,247,310.44,12.48,True
SKU0118,ASUS,Monitor,24-inch,ASUS 24-inch 0118,262,346.76,17.67,True
SKU0119,Lenovo,Monitor,24-inch,Lenovo 24-inch 0119,122,141.81,13.9,True
SKU0120,HP,Laptop,Gaming,HP Gaming 0120,1190,1361.62,2.23,True
SKU0121,Lenovo,Component,Power Adapter,Lenovo Power Adapter 0121,89,113.65,0.17,True
SKU0122,HP,Component,Power Adapter,HP Power Adapter 0122,21,27.03,1.28,True
SKU0123,ASUS,Monitor,Portable,ASUS Portable 0123,117,159.0,17.58,True
SKU0124,Samsung,Laptop,Ultrabook,Samsung Ultrabook 0124,1003,1223.95,5.9,True
SKU0125,Dell,Monitor,27-inch,Dell 27-inch 0125,353,490.15,12.5,True
SKU0126,HP,Accessory,Keyboard,HP Keyboard 0126,24,32.19,0.82,True
SKU0127,ASUS,Component,SSD,ASUS SSD 0127,115,133.51,0.48,True
SKU0128,Lenovo,Laptop,Business,Lenovo Business 0128,647,757.87,3.78,True
SKU0129,HP,Monitor,27-inch,HP 27-inch 0129,357,463.2,8.27,True
SKU0130,ASUS,Accessory,Webcam,ASUS Webcam 0130,85,105.85,2.25,True
SKU0131,HP,Component,Memory,HP Memory 0131,41,52.79,0.35,True
SKU0132,Anker,Laptop,Ultrabook,Anker Ultrabook 0132,1044,1437.98,5.64,True
SKU0133,Samsung,Component,SSD,Samsung SSD 0133,20,27.56,0.16,True
SKU0134,ASUS,Accessory,Bag,ASUS Bag 0134,54,75.58,1.22,True
SKU0135,Dell,Component,Power Adapter,Dell Power Adapter 0135,185,238.21,1.96,True
SKU0136,ASUS,Laptop,Chromebook,ASUS Chromebook 0136,881,1119.81,4.15,True
SKU0137,Acer,Laptop,Chromebook,Acer Chromebook 0137,1345,1887.85,5.92,True
SKU0138,Lenovo,Laptop,Chromebook,Lenovo Chromebook 0138,1010,1214.81,5.41,True
SKU0139,Lenovo,Accessory,Webcam,Lenovo Webcam 0139,65,87.19,0.26,True
SKU0140,Samsung,Accessory,Webcam,Samsung Webcam 0140,87,115.63,1.05,True
SKU0141,ASUS,Monitor,34-inch,ASUS 34-inch 0141,280,384.62,8.34,True
SKU0142,Lenovo,Accessory,Keyboard,Lenovo Keyboard 0142,42,47.56,0.93,True
SKU0143,Samsung,Laptop,Business,Samsung Business 0143,722,1019.93,4.65,True
SKU0144,Lenovo,Component,Memory,Lenovo Memory 0144,149,181.69,1.89,False
SKU0145,Samsung,Monitor,Portable,Samsung Portable 0145,464,539.09,8.66,True
SKU0146,Dell,Laptop,Business,Dell Business 0146,819,1109.24,5.73,True
SKU0147,ASUS,Laptop,Chromebook,ASUS Chromebook 0147,1424,1813.42,2.46,True
SKU0148,Dell,Component,Memory,Dell Memory 0148,98,138.5,0.94,False
SKU0149,Lenovo,Component,Memory,Lenovo Memory 0149,55,75.39,1.98,True
SKU0150,Logitech,Accessory,Dock,Logitech Dock 0150,64,89.24,2.19,True
SKU0151,Acer,Monitor,Portable,Acer Portable 0151,341,467.3,12.05,True
SKU0152,Anker,Accessory,Mouse,Anker Mouse 0152,97,120.78,0.89,True
SKU0153,Anker,Laptop,Business,Anker Business 0153,1578,2092.07,6.68,True
SKU0154,Dell,Accessory,Keyboard,Dell Keyboard 0154,71,82.41,1.37,True
SKU0155,HP,Accessory,Mouse,HP Mouse 0155,110,129.25,1.72,True
SKU0156,Samsung,Accessory,Mouse,Samsung Mouse 0156,86,117.56,1.24,True
SKU0157,ASUS,Monitor,24-inch,ASUS 24-inch 0157,347,471.41,13.81,True
SKU0158,Anker,Laptop,Chromebook,Anker Chromebook 0158,576,804.69,4.41,True
SKU0159,Acer,Accessory,Keyboard,Acer Keyboard 0159,116,137.66,0.83,True
SKU0160,HP,Laptop,Chromebook,HP Chromebook 0160,579,780.03,2.4,True
SKU0161,Dell,Laptop,Business,Dell Business 0161,555,747.23,5.8,True
SKU0162,HP,Accessory,Dock,HP Dock 0162,47,57.54,2.24,True
SKU0163,ASUS,Laptop,Ultrabook,ASUS Ultrabook 0163,812,1040.28,6.68,True
SKU0164,Lenovo,Accessory,Bag,Lenovo Bag 0164,25,34.26,1.64,True
SKU0165,Anker,Accessory,Dock,Anker Dock 0165,29,39.11,0.31,True
SKU0166,Acer,Accessory,Webcam,Acer Webcam 0166,82,98.99,0.39,True
SKU0167,Dell,Accessory,Keyboard,Dell Keyboard 0167,25,31.29,0.6,True
SKU0168,HP,Laptop,Gaming,HP Gaming 0168,1164,1511.44,6.76,True
SKU0169,Logitech,Accessory,Bag,Logitech Bag 0169,97,136.29,0.61,True
SKU0170,ASUS,Component,Memory,ASUS Memory 0170,208,236.26,0.83,True
SKU0171,HP,Monitor,34-inch,HP 34-inch 0171,428,577.92,7.23,True
SKU0172,Dell,Accessory,Headset,Dell Headset 0172,27,33.89,0.3,True
SKU0173,Lenovo,Accessory,Bag,Lenovo Bag 0173,29,38.71,2.09,True
SKU0174,Lenovo,Component,Memory,Lenovo Memory 0174,87,110.35,1.96,True
SKU0175,Lenovo,Laptop,Ultrabook,Lenovo Ultrabook 0175,1170,1515.37,5.72,False
SKU0176,Dell,Component,Memory,Dell Memory 0176,185,224.52,0.32,True
SKU0177,Anker,Accessory,Dock,Anker Dock 0177,77,92.4,2.96,True
SKU0178,HP,Laptop,Chromebook,HP Chromebook 0178,841,1146.65,5.27,True
SKU0179,Acer,Laptop,Gaming,Acer Gaming 0179,963,1194.71,3.24,True
SKU0180,HP,Accessory,Mouse,HP Mouse 0180,72,85.17,1.05,True
SKU0181,Logitech,Accessory,Keyboard,Logitech Keyboard 0181,91,114.29,0.25,True
SKU0182,Anker,Component,SSD,Anker SSD 0182,177,243.52,0.21,True
SKU0183,ASUS,Component,SSD,ASUS SSD 0183,215,260.17,0.22,True
SKU0184,Acer,Component,Memory,Acer Memory 0184,173,206.02,1.61,True
SKU0185,Logitech,Component,Power Adapter,Logitech Power Adapter 0185,71,82.91,1.35,True
SKU0186,Dell,Laptop,Chromebook,Dell Chromebook 0186,533,644.61,2.49,True
SKU0187,Lenovo,Component,Power Adapter,Lenovo Power Adapter 0187,208,264.18,1.57,True
SKU0188,ASUS,Component,SSD,ASUS SSD 0188,100,121.88,0.55,True
SKU0189,Lenovo,Monitor,24-inch,Lenovo 24-inch 0189,230,275.15,11.12,True
SKU0190,ASUS,Component,Memory,ASUS Memory 0190,141,188.19,1.25,True
SKU0191,Acer,Laptop,Gaming,Acer Gaming 0191,1551,2183.1,3.87,True
SKU0192,Logitech,Component,SSD,Logitech SSD 0192,213,253.61,1.3,True
SKU0193,Acer,Component,SSD,Acer SSD 0193,208,258.73,1.66,True
SKU0194,HP,Accessory,Headset,HP Headset 0194,89,121.4,0.28,True
SKU0195,Lenovo,Component,Power Adapter,Lenovo Power Adapter 0195,180,218.1,1.46,True
SKU0196,Samsung,Monitor,Portable,Samsung Portable 0196,334,400.2,15.66,True
SKU0197,Logitech,Monitor,Portable,Logitech Portable 0197,204,284.97,12.96,True
SKU0198,Logitech,Monitor,24-inch,Logitech 24-inch 0198,397,455.25,17.29,True
SKU0199,Anker,Component,Power Adapter,Anker Power Adapter 0199,72,84.76,1.04,True
SKU0200,Acer,Monitor,27-inch,Acer 27-inch 0200,304,412.75,17.68,True
SKU0201,Dell,Component,SSD,Dell SSD 0201,197,244.14,1.23,True
SKU0202,Samsung,Laptop,Ultrabook,Samsung Ultrabook 0202,900,1261.62,6.65,True
SKU0203,Logitech,Component,Memory,Logitech Memory 0203,30,38.82,1.77,True
SKU0204,Logitech,Accessory,Bag,Logitech Bag 0204,26,29.46,2.54,True
SKU0205,Acer,Accessory,Mouse,Acer Mouse 0205,67,81.38,0.62,True
SKU0206,ASUS,Component,SSD,ASUS SSD 0206,66,74.63,1.99,True
SKU0207,Samsung,Laptop,Chromebook,Samsung Chromebook 0207,1568,1809.08,5.51,True
SKU0208,ASUS,Monitor,34-inch,ASUS 34-inch 0208,92,118.79,5.54,True
SKU0209,HP,Laptop,Business,HP Business 0209,1227,1682.33,2.91,True
SKU0210,Dell,Accessory,Headset,Dell Headset 0210,95,133.5,2.26,True
SKU0211,Acer,Monitor,24-inch,Acer 24-inch 0211,118,151.53,5.75,True
SKU0212,Dell,Component,SSD,Dell SSD 0212,219,271.72,0.67,True
SKU0213,Lenovo,Accessory,Bag,Lenovo Bag 0213,24,30.57,1.53,True
SKU0214,Lenovo,Component,Memory,Lenovo Memory 0214,43,48.68,1.4,True
SKU0215,HP,Component,Power Adapter,HP Power Adapter 0215,40,55.69,1.82,True
SKU0216,Dell,Component,Memory,Dell Memory 0216,151,174.0,1.18,True
SKU0217,HP,Accessory,Headset,HP Headset 0217,26,34.28,1.3,True
SKU0218,Anker,Accessory,Mouse,Anker Mouse 0218,115,140.58,0.79,False
SKU0219,HP,Accessory,Bag,HP Bag 0219,14,17.34,1.49,True
SKU0220,Samsung,Component,Memory,Samsung Memory 0220,52,60.35,0.46,True
